titulo_documento_origem,titulo_documento_destino,Recomendacoes
Alasca - Visitando o Denali National Park and Preserve,Parque Nacional de Yellowstone,17
Alasca - Visitando o Denali National Park and Preserve,Dalton Highway,8
Amanhecer em El Chaltén - Mirador de Los Condores,Monte Fitz Roy,34
Amanhecer em El Chaltén - Mirador de Los Condores,Nevoeiro de São Francisco,14
Amanhecer em El Chaltén - Mirador de Los Condores,Horseshoe Bend (Arizona),13
Amanhecer em El Chaltén - Mirador de Los Condores,Rio Mendoza,12
Amanhecer em El Chaltén - Mirador de Los Condores,Cerro Torre,9
Aparecida - Passeando de Bondinho,Furacão John (1994),19
Aparecida - Passeando de Bondinho,Parque Linear Cajuru,14
Aparecida - Passeando de Bondinho,Bella Vista (Corrientes),12
Aparecida - Passeando de Bondinho,California State Route 52,8
Aparecida - Passeando de Bondinho,Cerro Catedral,8
Aparecida - Sala das Promessas,Lista de premiações especiais do Miss USA,26
Aparecida - Sala das Promessas,Monte Fitz Roy,23
Aparecida - Sala das Promessas,Prêmio Indianápolis,16
Aparecida - Sala das Promessas,Canton Bulldogs,12
Aparecida - Sala das Promessas,Parque Linear Cajuru,12
Aplicativo - The Weather Channel - Previsão Meteorológica ,Campanha dos Pobres,34
Aplicativo - The Weather Channel - Previsão Meteorológica ,Furacão John (1994),13
Aplicativo - The Weather Channel - Previsão Meteorológica ,Fiordland,13
Aplicativo - The Weather Channel - Previsão Meteorológica ,Housetrucker,12
Aplicativo - The Weather Channel - Previsão Meteorológica ,Lista de primeiros-ministros da Nova Zelândia,11
Atacama - Geisers Del Tatio,Osorno (vulcão),51
Atacama - Geisers Del Tatio,Deserto de Atacama,32
Atacama - Geisers Del Tatio,Gêiseres de Tatio,30
Atacama - Geisers Del Tatio,Corredor do Atacama,28
Atacama - Geisers Del Tatio,Salar de Atacama,21
Atacama - Salar de Atacama,Salar de Atacama,61
Atacama - Salar de Atacama,Osorno (vulcão),54
Atacama - Salar de Atacama,Gêiseres de Tatio,33
Atacama - Salar de Atacama,Deserto de Atacama,32
Atacama - Salar de Atacama,Corredor do Atacama,18
Atacama - Salar de Tara,Corredor do Atacama,35
Atacama - Salar de Tara,Ollagüe (vulcão),20
Atacama - Salar de Tara,Osorno (vulcão),18
Atacama - Salar de Tara,Deserto de Atacama,15
Atacama - Salar de Tara,Sierra Nevada de Lagunas Bravas,14
Atacama - Tour do Vinho,Osorno (vulcão),47
Atacama - Tour do Vinho,Deserto de Atacama,29
Atacama - Tour do Vinho,Gêiseres de Tatio,24
Atacama - Tour do Vinho,Puna atacamenha,18
Atacama - Tour do Vinho,Salar de Atacama,18
Atacama - Valle del Arcoiris,Osorno (vulcão),56
Atacama - Valle del Arcoiris,Gêiseres de Tatio,46
Atacama - Valle del Arcoiris,Salar de Atacama,44
Atacama - Valle del Arcoiris,Deserto de Atacama,24
Atacama - Valle del Arcoiris,Corredor do Atacama,18
Atacama e Salar de Uyuni - Roteiro,Corredor do Atacama,51
Atacama e Salar de Uyuni - Roteiro,Lista de vulcões do Chile,37
Atacama e Salar de Uyuni - Roteiro,Gêiseres de Tatio,27
Atacama e Salar de Uyuni - Roteiro,Cerro Catedral,23
Atacama e Salar de Uyuni - Roteiro,Salar de Atacama,15
Atins - O Famoso Camarão da Luzia,Reserva da Biosfera do Cinturão Verde de São Paulo,45
Atins - O Famoso Camarão da Luzia,Deserto de Chihuahua,19
Atins - O Famoso Camarão da Luzia,Rio Bermejo,12
Atins - O Famoso Camarão da Luzia,Planície Litorânea do Brasil,10
Atins - O Famoso Camarão da Luzia,Lowcountry,9
Barcelona - Bicing,Cerro Catedral,19
Barcelona - Bicing,Osorno (vulcão),12
Barcelona - Bicing,Lista de parques nacionais dos Estados Unidos,10
Barcelona - Bicing,Tamarugal (província),9
Barcelona - Bicing,California State Route 52,8
Barcelona - Curso de Fotografia ,Urbanização na Argentina,32
Barcelona - Curso de Fotografia ,Wikipédia:Lista de predefinições/Esboços/Geografia,17
Barcelona - Curso de Fotografia ,Aeroporto Internacional Midway,14
Barcelona - Curso de Fotografia ,Planícies e Terras Baixas Amazônicas,14
Barcelona - Curso de Fotografia ,Bicentenário da Argentina,10
Barcelona - Mercat de la Boqueria,Urbanização na Argentina,32
Barcelona - Mercat de la Boqueria,Complexo Deodoro,20
Barcelona - Mercat de la Boqueria,Montes Sangre de Cristo,19
Barcelona - Mercat de la Boqueria,Praça João Lisboa,14
Barcelona - Mercat de la Boqueria,Bicentenário da Argentina,10
Barcelona - Parc Güell,Parque Nacional e Reserva de Denali,23
Barcelona - Parc Güell,Parque Nacional de Joshua Tree,12
Barcelona - Parc Güell,Cerro Catedral,11
Barcelona - Parc Güell,Vulcão Batea Mahuida,10
Barcelona - Parc Güell,Osorno (vulcão),9
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Cerro Catedral,16
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Parque Linear Cajuru,14
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Coronel (Chile),12
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Amador City (Califórnia),10
Bariloche - Catedral Nuestra Señora del Nahuel Huapi,Invasões Britânicas,10
Bariloche - Centro Cívico,Demografia da Argentina,22
Bariloche - Centro Cívico,Urbanização na Argentina,16
Bariloche - Centro Cívico,Domingo Faustino Sarmiento,15
Bariloche - Centro Cívico,Subdivisões da Argentina,14
Bariloche - Centro Cívico,Arroyo Dulce,12
Bariloche - Cerro Campanario,Wikipédia:Lista de predefinições/Esboços/Geografia,32
Bariloche - Cerro Campanario,Lago Nahuel Huapi,22
Bariloche - Cerro Campanario,Horseshoe Bend (Arizona),19
Bariloche - Cerro Campanario,Caldeira de Vilama,13
Bariloche - Cerro Campanario,Charles Leander Weed,11
Bariloche - Cerro Tronador e Cascada los Alerces,Parque Nacional e Reserva de Denali,54
Bariloche - Cerro Tronador e Cascada los Alerces,Planalto do Colorado,20
Bariloche - Cerro Tronador e Cascada los Alerces,Parque Nacional Lanín,19
Bariloche - Cerro Tronador e Cascada los Alerces,Lista de parques estaduais do Connecticut,8
Bariloche - Cerro Tronador e Cascada los Alerces,Lista de comandantes do Corpo de Fuzileiros dos Estados Unidos,8
Bariloche - Cervejaria Antares,Monte Fitz Roy,28
Bariloche - Cervejaria Antares,Lista de premiações especiais do Miss USA,26
Bariloche - Cervejaria Antares,Seridó,14
Bariloche - Cervejaria Antares,Pedro de Mendoza,11
Bariloche - Cervejaria Antares,Canton Bulldogs,9
Bariloche - Isla Victoria y Bosque de Arrayanes,Parque Nacional Los Arrayanes,28
Bariloche - Isla Victoria y Bosque de Arrayanes,Parque Estadual da Serra do Cabral,14
Bariloche - Isla Victoria y Bosque de Arrayanes,Parque Estadual do Rio Corrente,12
Bariloche - Isla Victoria y Bosque de Arrayanes,Departamento de Parques e Recreação da Califórnia,9
Bariloche - Isla Victoria y Bosque de Arrayanes,Parque Nacional Lago Puelo,9
Bariloche - Post Índice,Passagem Cardeal Antonio Samoré,26
Bariloche - Post Índice,Zabriskie Point,25
Bariloche - Post Índice,Parque Nacional Nahuel Huapi,16
Bariloche - Post Índice,Futaleufú,15
Bariloche - Post Índice,Osorno (vulcão),10
Bariloche - Restaurante Jauja,Bicentenário da Argentina,17
Bariloche - Restaurante Jauja,Praça Pedro II (São Luís),17
Bariloche - Restaurante Jauja,Martiniano Chilavert,13
Bariloche - Restaurante Jauja,Alcaraz Norte,10
Bariloche - Restaurante Jauja,Primeira Junta,9
Bariloche - Restaurante La Lola,Cerro Catedral,18
Bariloche - Restaurante La Lola,Lista de unidades federativas do Brasil por porcentagem de crianças e adolescentes fora da escola,10
Bariloche - Restaurante La Lola,Bicentenário da Argentina,10
Bariloche - Restaurante La Lola,Falha de Santo André,8
Bariloche - Restaurante La Lola,Horseshoe Bend (Arizona),8
Bariloche - Um Hotel de Encher os Olhos,Parque Nacional Vicente Pérez Rosales,19
Bariloche - Um Hotel de Encher os Olhos,Regiões da Argentina,14
Bariloche - Um Hotel de Encher os Olhos,Caldeira de Vilama,14
Bariloche - Um Hotel de Encher os Olhos,Osorno (vulcão),13
Bariloche - Um Hotel de Encher os Olhos,Lago Nahuel Huapi,12
Barreirinhas - Passeio de Voadeira pelo Rio Preguiças,Reserva da Biosfera do Cinturão Verde de São Paulo,48
Barreirinhas - Passeio de Voadeira pelo Rio Preguiças,Castelo da Cinderela,14
Barreirinhas - Passeio de Voadeira pelo Rio Preguiças,El Capitan (Arizona),13
Barreirinhas - Passeio de Voadeira pelo Rio Preguiças,Rakahanga,11
Barreirinhas - Passeio de Voadeira pelo Rio Preguiças,Campo de Perizes,10
Barreirinhas - Restaurante Barlavento,Reserva da Biosfera do Cinturão Verde de São Paulo,30
Barreirinhas - Restaurante Barlavento,Floresta paludosa,15
Barreirinhas - Restaurante Barlavento,Aeroporto Internacional Midway,9
Barreirinhas - Restaurante Barlavento,Baixadas Litorâneas do Nordeste,8
Barreirinhas - Restaurante Barlavento,Bosque Alemão,8
Barreirinhas - Restaurante Marina Tropical,Reserva da Biosfera do Cinturão Verde de São Paulo,32
Barreirinhas - Restaurante Marina Tropical,Floresta paludosa,16
Barreirinhas - Restaurante Marina Tropical,Reserva Biológica do Gurupi,14
Barreirinhas - Restaurante Marina Tropical,Sistema Brasileiro de Avaliação de Conformidade Orgânica,11
Barreirinhas - Restaurante Marina Tropical,Área de Proteção Ambiental das Reentrâncias Maranhenses,11
Belo Horizonte - Caminhada da Lua Cheia,Wikipédia:Lista de predefinições/Esboços/Geografia,52
Belo Horizonte - Caminhada da Lua Cheia,Corredor Ecológico do Norte da Amazônia,32
Belo Horizonte - Caminhada da Lua Cheia,Caldeira de Vilama,21
Belo Horizonte - Caminhada da Lua Cheia,Lista de unidades federativas do Brasil por porcentagem de crianças e adolescentes fora da escola,18
Belo Horizonte - Caminhada da Lua Cheia,Caldeira de Yellowstone,16
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Praça Gonçalves Dias (São Luís),31
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Complexo Deodoro,23
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Praça Pedro II (São Luís),18
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Plaza de Mayo,15
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Revolução de Chuquisaca,13
Belo Horizonte - Degustação de Sorvetes na Alessa,Urbanização na Argentina,43
Belo Horizonte - Degustação de Sorvetes na Alessa,Praça João Lisboa,15
Belo Horizonte - Degustação de Sorvetes na Alessa,Toqui,14
Belo Horizonte - Degustação de Sorvetes na Alessa,Imigração italiana na Argentina,11
Belo Horizonte - Degustação de Sorvetes na Alessa,Praça Pedro II (São Luís),10
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Área de Preservação Permanente,19
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Marga Marga (província),9
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Glaciar Fox,8
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Plaza de Mayo,8
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Universidade Ucinf,8
Belo Horizonte - Lua Cheia no Museu 2013,Corredor Ecológico do Norte da Amazônia,30
Belo Horizonte - Lua Cheia no Museu 2013,Salar de Atacama,24
Belo Horizonte - Lua Cheia no Museu 2013,Osorno (vulcão),22
Belo Horizonte - Lua Cheia no Museu 2013,Gêiseres de Tatio,20
Belo Horizonte - Lua Cheia no Museu 2013,Wikipédia:Lista de predefinições/Esboços/Geografia,10
Belo Horizonte - Memorial Minas Gerais - Vale,Institutos históricos e geográficos do Brasil,32
Belo Horizonte - Memorial Minas Gerais - Vale,Plaza de Mayo,25
Belo Horizonte - Memorial Minas Gerais - Vale,Lista de rios de Minas Gerais,23
Belo Horizonte - Memorial Minas Gerais - Vale,Instituto Histórico e Geográfico de Tiradentes,18
Belo Horizonte - Memorial Minas Gerais - Vale,Lista do Patrimônio Mundial no Brasil,14
Belo Horizonte - Mirante do Mangabeiras,Lista de unidades geomorfológicas do Paraná por altitude,16
Belo Horizonte - Mirante do Mangabeiras,Reserva da Biosfera do Cinturão Verde de São Paulo,12
Belo Horizonte - Mirante do Mangabeiras,Gêiseres de Tatio,7
Belo Horizonte - Mirante do Mangabeiras,Batalha de Brandywine,6
Belo Horizonte - Mirante do Mangabeiras,Memorial Maria Aragão,6
Belo Horizonte - Restaurante Maria das Tranças,Superfícies Dissecadas Diversas,12
Belo Horizonte - Restaurante Maria das Tranças,Vale do São Francisco,11
Belo Horizonte - Restaurante Maria das Tranças,Aeroporto Internacional Midway,11
Belo Horizonte - Restaurante Maria das Tranças,Corredor do Atacama,10
Belo Horizonte - Restaurante Maria das Tranças,Unidade básica,9
Belo Horizonte - Restaurante do Porto,Reserva da Biosfera do Cinturão Verde de São Paulo,49
Belo Horizonte - Restaurante do Porto,Lista de premiações especiais do Miss USA,19
Belo Horizonte - Restaurante do Porto,Diego Flórez de Valdés,14
Belo Horizonte - Restaurante do Porto,Barracas (Buenos Aires),10
Belo Horizonte - Restaurante do Porto,Monte Fitz Roy,9
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Monte Fitz Roy,35
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Prêmio Indianápolis,21
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Nevoeiro de São Francisco,13
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,Mu Torere,10
Belo Horizonte - Visita ao Pátio Cervejeiro da Backer,4 de Juplaya,8
Blogagem Coletiva - 12 Posts Especiais de 2012,Monumento Nacional (Estados Unidos),14
Blogagem Coletiva - 12 Posts Especiais de 2012,Antiperonismo,12
Blogagem Coletiva - 12 Posts Especiais de 2012,Assembleia do ano XIII,11
Blogagem Coletiva - 12 Posts Especiais de 2012,Golpes de Estado na Argentina,11
Blogagem Coletiva - 12 Posts Especiais de 2012,Haka,10
Blogagem Coletiva - Cores de Viagem,Reforma Universitária de Córdoba,20
Blogagem Coletiva - Cores de Viagem,María Estela Martínez de Perón,9
Blogagem Coletiva - Cores de Viagem,Genocídio Selk'nam,8
Blogagem Coletiva - Cores de Viagem,Lago Nahuel Huapi,8
Blogagem Coletiva - Cores de Viagem,Passagem Cardeal Antonio Samoré,8
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Lista de rotas da Amtrak,23
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Plaza de Mayo,16
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Boston (Texas),15
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Jardim Botânico de Porto Alegre,15
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,Congresso da Nação Argentina,12
Blogs de Viagens,Barracas (Buenos Aires),16
Blogs de Viagens,Lista de regiões geográficas intermediárias e imediatas de Santa Catarina,11
Blogs de Viagens,Humanoide do Atacama,11
Blogs de Viagens,Andover (Flórida),10
Blogs de Viagens,Lista de estados brasileiros por número de municípios,9
Blogueiros Por Minas - Parque Estadual do Rio Doce,Parque Estadual do Rio Corrente,31
Blogueiros Por Minas - Parque Estadual do Rio Doce,Parque Estadual da Serra do Cabral,24
Blogueiros Por Minas - Parque Estadual do Rio Doce,Parque Estadual do Rio Doce,24
Blogueiros Por Minas - Parque Estadual do Rio Doce,Incêndio no Parque Estadual do Rio Doce em 1967,24
Blogueiros Por Minas - Parque Estadual do Rio Doce,Parque Estadual da Serra de Ricardo Franco,20
Blogueiros Por Minas - Parque Estadual do Rio Preto,Bacia do rio Paraíba do Sul,30
Blogueiros Por Minas - Parque Estadual do Rio Preto,Parque Estadual do Rio Corrente,23
Blogueiros Por Minas - Parque Estadual do Rio Preto,Departamento de Parques e Recreação da Califórnia,23
Blogueiros Por Minas - Parque Estadual do Rio Preto,Parque Estadual Serra da Candonga,15
Blogueiros Por Minas - Parque Estadual do Rio Preto,Planalto do Colorado,12
Caburé - Almoço na Pousada do Paulo,Reserva da Biosfera do Cinturão Verde de São Paulo,16
Caburé - Almoço na Pousada do Paulo,Lowcountry,15
Caburé - Almoço na Pousada do Paulo,Monte Fitz Roy,9
Caburé - Almoço na Pousada do Paulo,Lista de unidades federativas do Brasil por porcentagem de crianças e adolescentes fora da escola,8
Caburé - Almoço na Pousada do Paulo,Eisenstadt v. Baird,7
Caburé - Passeando entre o Rio e o Mar,Reserva da Biosfera do Cinturão Verde de São Paulo,32
Caburé - Passeando entre o Rio e o Mar,Balsora,15
Caburé - Passeando entre o Rio e o Mar,Ilha de São Paulo (Alasca),12
Caburé - Passeando entre o Rio e o Mar,El Capitan (Arizona),10
Caburé - Passeando entre o Rio e o Mar,Revolução de 43,9
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",Bacia do rio Paraíba do Sul,53
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",Chapada Diamantina,18
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",6º Distrito Congressional da Geórgia,12
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",Cachoeira da Pirapora,10
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",Cerro El Roble,10
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",Bacia do rio Paraíba do Sul,46
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",Chapada Diamantina,18
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",Parque Estadual da Serra do Cabral,17
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",Pedra Partida,12
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",Cachoeira da Pirapora,8
Caeté - Serra da Piedade,Reserva Particular do Patrimônio Natural Santuário Caraça,16
Caeté - Serra da Piedade,Parque Nossa Senhora da Piedade,14
Caeté - Serra da Piedade,Aeroporto Internacional Midway,11
Caeté - Serra da Piedade,Observatório Nacional de Kitt Peak,11
Caeté - Serra da Piedade,American Academy of Arts and Letters,10
Café do Viajante - Cafeteria em Curitiba,Bosque Reinhard Maack,47
Café do Viajante - Cafeteria em Curitiba,Bosque Alemão,19
Café do Viajante - Cafeteria em Curitiba,La Calera,18
Café do Viajante - Cafeteria em Curitiba,Lista de premiações especiais do Miss USA,17
Café do Viajante - Cafeteria em Curitiba,Lista de unidades geomorfológicas do Paraná por altitude,16
Campinas - Passeio de Maria Fumaça,Urbanização na Argentina,35
Campinas - Passeio de Maria Fumaça,Planalto Central do Brasil (relatório),19
Campinas - Passeio de Maria Fumaça,Praça João Lisboa,14
Campinas - Passeio de Maria Fumaça,Wikipédia:Lista de predefinições/Esboços/Geografia,14
Campinas - Passeio de Maria Fumaça,Lista de concentrações urbanas do Brasil por população,10
Cardosa - Flutuação no Rio Formiga,Reserva da Biosfera do Cinturão Verde de São Paulo,75
Cardosa - Flutuação no Rio Formiga,Campo de Perizes,21
Cardosa - Flutuação no Rio Formiga,Planalto do Meio-Norte,13
Cardosa - Flutuação no Rio Formiga,Reserva Lagoa São Paulo,13
Cardosa - Flutuação no Rio Formiga,Área de Proteção Ambiental das Reentrâncias Maranhenses,11
Catas Altas - Um Passeio Pela Cidade e Região,Reserva Particular do Patrimônio Natural Santuário Caraça,90
Catas Altas - Um Passeio Pela Cidade e Região,Pico do Sol,30
Catas Altas - Um Passeio Pela Cidade e Região,Wikipédia:Lista de predefinições/Esboços/Geografia,28
Catas Altas - Um Passeio Pela Cidade e Região,Institutos históricos e geográficos do Brasil,18
Catas Altas - Um Passeio Pela Cidade e Região,Instituto Histórico e Geográfico de Tiradentes,16
Chapada dos Guimarães - Mirante Morro dos Ventos,4 de Juplaya,18
Chapada dos Guimarães - Mirante Morro dos Ventos,Dover International Speedway,10
Chapada dos Guimarães - Mirante Morro dos Ventos,Passagem de Drake,10
Chapada dos Guimarães - Mirante Morro dos Ventos,Planície Litorânea do Brasil,10
Chapada dos Guimarães - Mirante Morro dos Ventos,Cerro Catedral,10
Chapada dos Guimarães - Mirante do Centro Geodésico,Planície Litorânea do Brasil,42
Chapada dos Guimarães - Mirante do Centro Geodésico,Horseshoe Bend (Arizona),19
Chapada dos Guimarães - Mirante do Centro Geodésico,Rakahanga,10
Chapada dos Guimarães - Mirante do Centro Geodésico,Lautaro (toqui),8
Chapada dos Guimarães - Mirante do Centro Geodésico,Mu Torere,8
Chapada dos Guimarães - Pousada Casa da Quineira,Furacão John (1994),11
Chapada dos Guimarães - Pousada Casa da Quineira,Corredor do Atacama,10
Chapada dos Guimarães - Pousada Casa da Quineira,Região do Trairi,10
Chapada dos Guimarães - Pousada Casa da Quineira,Cerro Catedral,10
Chapada dos Guimarães - Pousada Casa da Quineira,Parque Nacional e Reserva de Denali,8
Chile - Não Durma no Voo,Cordilheira da Costa do Pacífico Sul,19
Chile - Não Durma no Voo,Castelo da Cinderela,14
Chile - Não Durma no Voo,Cerro Paine Grande,13
Chile - Não Durma no Voo,Cabo Hornier,12
Chile - Não Durma no Voo,Glaciar Upsala,9
Cinema no Rio - Levando a Sétima Arte às Comunidades Ribeirinhas do Rio São Francisco,Vale do São Francisco,43
Cinema no Rio - Levando a Sétima Arte às Comunidades Ribeirinhas do Rio São Francisco,Urbanização na Argentina,32
Cinema no Rio - Levando a Sétima Arte às Comunidades Ribeirinhas do Rio São Francisco,Lista dos cem municípios mais populosos da região Nordeste do Brasil (2010),20
Cinema no Rio - Levando a Sétima Arte às Comunidades Ribeirinhas do Rio São Francisco,Burning Man,14
Cinema no Rio - Levando a Sétima Arte às Comunidades Ribeirinhas do Rio São Francisco,What We Do in the Shadows,12
Circuito W - A Chegada ao Parque Torres del Paine,Parque Nacional Torres del Paine,25
Circuito W - A Chegada ao Parque Torres del Paine,Rio Pipo,14
Circuito W - A Chegada ao Parque Torres del Paine,Cabo Maria van Diemen,11
Circuito W - A Chegada ao Parque Torres del Paine,Daytona International Speedway,11
Circuito W - A Chegada ao Parque Torres del Paine,Monte Burnham,9
Circuito W - Lago e Glaciar Grey,Parque Nacional Torres del Paine,21
Circuito W - Lago e Glaciar Grey,Parque Nacional Los Glaciares,12
Circuito W - Lago e Glaciar Grey,Lago Yellowstone,9
Circuito W - Lago e Glaciar Grey,Monte Baden-Powell,9
Circuito W - Lago e Glaciar Grey,Llanquihue,9
Circuito W - Las Torres del Paine,Monte Fitz Roy,26
Circuito W - Las Torres del Paine,Rio Mendoza,11
Circuito W - Las Torres del Paine,Aconcágua,10
Circuito W - Las Torres del Paine,Glaciar Taku,10
Circuito W - Las Torres del Paine,Transposição do rio São Francisco,10
Circuito W - Pelo Lago Nordenskjold até Los Cuernos,Parque Nacional Torres del Paine,13
Circuito W - Pelo Lago Nordenskjold até Los Cuernos,Parque Nacional Los Glaciares,12
Circuito W - Pelo Lago Nordenskjold até Los Cuernos,Campo de gelo de Juneau,10
Circuito W - Pelo Lago Nordenskjold até Los Cuernos,Monte Baden-Powell,10
Circuito W - Pelo Lago Nordenskjold até Los Cuernos,Puerto Natales,10
Circuito W - Vale Francês,Monte Fitz Roy,21
Circuito W - Vale Francês,Glaciar Taku,12
Circuito W - Vale Francês,Campo de gelo de Juneau,11
Circuito W - Vale Francês,Rio Mendoza,11
Circuito W - Vale Francês,Transposição do rio São Francisco,11
Curitiba - Artesanilo Café Bistrô,Ann Arbor,29
Curitiba - Artesanilo Café Bistrô,Bosque Alemão,23
Curitiba - Artesanilo Café Bistrô,Lista de premiações especiais do Miss USA,22
Curitiba - Artesanilo Café Bistrô,Bosque Reinhard Maack,11
Curitiba - Artesanilo Café Bistrô,Anne Manie,10
Curitiba - Cupcake Company,Ann Arbor,27
Curitiba - Cupcake Company,Lista de premiações especiais do Miss USA,26
Curitiba - Cupcake Company,Bosque Alemão,25
Curitiba - Cupcake Company,Anne Manie,16
Curitiba - Cupcake Company,Bosque do Papa,12
Curitiba - Hotel CWB Express,Ann Arbor,27
Curitiba - Hotel CWB Express,Lista de premiações especiais do Miss USA,18
Curitiba - Hotel CWB Express,Bosque Alemão,17
Curitiba - Hotel CWB Express,Anne Manie,15
Curitiba - Hotel CWB Express,Bosque Reinhard Maack,12
Curitiba - Mercado Municipal,Ann Arbor,30
Curitiba - Mercado Municipal,Lista de premiações especiais do Miss USA,20
Curitiba - Mercado Municipal,Bosque do Papa,15
Curitiba - Mercado Municipal,Anne Manie,13
Curitiba - Mercado Municipal,Bosque Alemão,12
Curitiba - Mercearia Bresser,Ann Arbor,29
Curitiba - Mercearia Bresser,Lista de premiações especiais do Miss USA,22
Curitiba - Mercearia Bresser,Anne Manie,15
Curitiba - Mercearia Bresser,Bosque Alemão,15
Curitiba - Mercearia Bresser,Bosque Reinhard Maack,12
Curitiba - Passeio pelo Centro Histórico,Bosque Alemão,22
Curitiba - Passeio pelo Centro Histórico,Memorial Maria Aragão,19
Curitiba - Passeio pelo Centro Histórico,Ann Arbor,12
