titulo_documento_origem,titulo_documento_destino,Recomendacoes
Revelando a Foto - Parque das Aves,2º Congresso dos Estados Unidos,2
Revelando a Foto - Reflexos no Barco,2º Distrito Congressional do Illinois,2
Revelando a Foto - Trekking no Glaciar Perito Moreno,2º Distrito Congressional do Illinois,1
Washington DC - Cemitério de Arlington,2º Distrito Congressional do Illinois,1
Washington DC - Hotel Capital Hilton,2º Distrito Congressional do Illinois,1
São Luís - Centro de Cultura Popular Domingos Vieira Filho,3.º Distrito Congressional do Alabama,1
Belo Horizonte - Espaço TIM UFMG do Conhecimento,3.º Distrito Congressional do Arizona,1
Café do Viajante - Cafeteria em Curitiba,3.º Distrito Congressional do Arkansas,1
Bariloche - Post Índice,30.º Distrito Congressional da Califórnia,1
São Luís - Centro de Cultura Popular Domingos Vieira Filho,30.º Distrito Congressional da Califórnia,1
Belo Horizonte - Restaurante Maria das Tranças,31.º Distrito Congressional da Califórnia,1
Blogagem Coletiva - Foto Jacu: Você ainda vai ter uma!,31.º Distrito Congressional da Califórnia,1
Revelando a Foto - Amanhecer em Morada Nova de Minas,31.º Distrito Congressional da Califórnia,1
Washington DC - Hotel Capital Hilton,31.º Distrito Congressional da Califórnia,1
Revelando a Foto - Jardim Botânico de Curitiba,32.º Distrito Congressional da Califórnia,1
Revelando a Foto - Passeio no deserto de Dubai,34.º Distrito Congressional da Califórnia,2
Revelando a Foto - Ponte do Brooklyn em NY,34.º Distrito Congressional da Califórnia,1
Revelando a Foto - Yellowstone National Park,34.º Distrito Congressional da Califórnia,1
Barcelona - Bicing,38.º Distrito Congressional da Califórnia,2
Revelando a Foto - Amanhecer no John Moulton Barn,38.º Distrito Congressional da Califórnia,2
Dicas - Como se Comportar em Habitats de Ursos,38.º Distrito Congressional da Califórnia,1
Revelando a Foto - Futebol Americano em BH,38.º Distrito Congressional da Califórnia,1
Revelando a Foto - Ponte do Brooklyn em NY,38.º Distrito Congressional da Califórnia,1
Bariloche - Cerro Campanario,3º Batalhão das Terceiras Marinhas,4
Belo Horizonte - Caminhada da Lua Cheia,3º Batalhão das Terceiras Marinhas,4
,3º Batalhão das Terceiras Marinhas,3
Mandacaru - A Melhor Caipirinha de Caju,3º Batalhão das Terceiras Marinhas,3
Revelando a Foto - Horseshoe Bend,3º Batalhão das Terceiras Marinhas,3
Chapada dos Guimarães - Mirante Morro dos Ventos,4 de Juplaya,18
Vídeo - Episódio Chapada dos Guimarães,4 de Juplaya,15
Vídeo - Episódio Casa da Quineira,4 de Juplaya,14
"Vídeo Morro dos Ventos, Passeio na Chapada dos Guimarães",4 de Juplaya,14
Vídeo - Episódio Mirante do Centro Geodésico,4 de Juplaya,11
Santiago - Tirando suas dúvidas - Ask me,4.º Distrito Congressional da Califórnia,1
Revelando a Foto - Old Faithful Geyser,4.º Distrito Congressional do Arizona,2
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,4.º Distrito Congressional do Arizona,2
Revelando a Foto - Montserrat,4.º Distrito Congressional do Arizona,1
"Puerto Varas - Restaurante, Cafeteria e Chocolateria Cassis",40.º Distrito Congressional da Califórnia,1
Revelando a Foto - Niagara Falls,40.º Distrito Congressional da Califórnia,1
Belo Horizonte - Mirante do Mangabeiras,41.º Distrito Congressional da Califórnia,1
Revelando a Foto - Yellowstone National Park,41.º Distrito Congressional da Califórnia,1
Revelando a Foto - Vista Aérea do Grand Canyon,46.º Distrito Congressional da Califórnia,1
Revelando a Foto - Namoradeira em Tiradentes,48.º Distrito Congressional da Califórnia,2
Blogs de Viagens,48.º Distrito Congressional da Califórnia,1
Revelando a Foto - Matriz de Santo Antônio,48.º Distrito Congressional da Califórnia,1
São Luís - Teatro Arthur Azevedo,48.º Distrito Congressional da Califórnia,1
Curitiba - Hotel CWB Express,49.º Distrito Congressional da Califórnia,2
Curitiba - Mercado Municipal,49.º Distrito Congressional da Califórnia,2
Curitiba - Mercearia Bresser,49.º Distrito Congressional da Califórnia,2
Curitiba - Vem Pro Abraço,49.º Distrito Congressional da Califórnia,2
Revelando a Foto - Jardim Botânico de Curitiba,49.º Distrito Congressional da Califórnia,2
Dicas - Como se Comportar em Habitats de Ursos,5.º Distrito Congressional do Alabama,1
Revelando a Foto - Passeio no deserto de Dubai,5.º Distrito Congressional do Alabama,1
Paso Córdoba - De San Martín de los Andes a Bariloche,5.º Distrito Congressional do Arkansas,2
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",5.º Distrito Congressional do Arkansas,1
El Chaltén - Trilha para o Chorrillo del Salto,5.º Distrito Congressional do Arkansas,1
Frutillar - Em Preto e Branco,5.º Distrito Congressional do Arkansas,1
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,5.º Distrito Congressional do Arkansas,1
Bariloche - Post Índice,50.º Distrito Congressional da Califórnia,1
Revelando a Foto - Parc Guell,50.º Distrito Congressional da Califórnia,1
Jalapão - Prainha,501(c)(3),7
Palmas - Pôr do Sol na Ilha da Canela,501(c)(3),7
Barreirinhas - Restaurante Barlavento,501(c)(3),6
Jalapão - O que Levar?,501(c)(3),6
Hobbiton - Cidade dos Hobbits na Nova Zelândia,501(c)(3),5
Dicas - Como se Comportar em Habitats de Ursos,51.º Distrito Congressional da Califórnia,6
Revelando a Foto - Amanhecer no John Moulton Barn,51.º Distrito Congressional da Califórnia,5
El Chaltén - Trilha para o Chorrillo del Salto,51.º Distrito Congressional da Califórnia,4
Livro - Papo de Viagem & Outras Histórias de Bar,51.º Distrito Congressional da Califórnia,4
,51.º Distrito Congressional da Califórnia,3
Islândia - Como Dirigir,51.º estado,5
São Luís - Teatro Arthur Azevedo,51.º estado,5
Revelando a Foto - Igreja São Francisco de Assis em Diamantina,51.º estado,5
Blogagem Coletiva - Cores de Viagem,51.º estado,4
Puerto Montt - Diversão para as Crianças,51.º estado,4
Revelando a Foto - Futebol Americano em BH,52.º Distrito Congressional da Califórnia,1
Revelando a Foto - Moldura no Central Park,52.º Distrito Congressional da Califórnia,1
Washington DC - Hotel Capital Hilton,52.º Distrito Congressional da Califórnia,1
Aparecida - Sala das Promessas,6.º Distrito Congressional da Califórnia,1
Barcelona - Curso de Fotografia ,6.º Distrito Congressional da Califórnia,1
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",6.º Distrito Congressional da Califórnia,1
Porque Gostamos de Voar pela LAN,6.º Distrito Congressional da Califórnia,1
Revelando a Foto - Forrest Gump Point e Monument Valley,6.º Distrito Congressional da Califórnia,1
Revelando a Foto - Amanhecer no John Moulton Barn,6º Distrito Congressional da Geórgia,16
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",6º Distrito Congressional da Geórgia,12
Revelando a Foto - Montserrat,6º Distrito Congressional da Geórgia,9
Revelando a Foto - Vagão de Trem em Campinas,6º Distrito Congressional da Geórgia,7
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,6º Distrito Congressional da Geórgia,6
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,6º Distrito Congressional do Arkansas,2
Curitiba - Hotel CWB Express,6º Distrito Congressional do Arkansas,1
Frutillar - Em Preto e Branco,6º Distrito Congressional do Arkansas,1
Kenai Fjords National Park - Trilha para o Harding Icefield,6º Distrito Congressional do Arkansas,1
Patagônia - Roteiro,6º Distrito Congressional do Arkansas,1
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",7.º Distrito Congressional da Califórnia,1
Aplicativo - The Weather Channel - Previsão Meteorológica ,7.º Distrito Congressional do Alabama,1
Revelando a Foto - Pão de Açúcar,7.º Distrito Congressional do Alabama,1
Belo Horizonte - Restaurante do Porto,7.º Distrito Congressional do Arizona,1
El Chaltén - Trilha para o Chorrillo del Salto,7.º Distrito Congressional do Arkansas,4
Bariloche - Um Hotel de Encher os Olhos,7.º Distrito Congressional do Arkansas,2
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",7.º Distrito Congressional do Arkansas,2
Puerto Montt - Palafitos de Angelmó - Restaurante 9,7.º Distrito Congressional do Arkansas,2
Revelando a Foto - Amanhecer no John Moulton Barn,7.º Distrito Congressional do Arkansas,2
Bariloche - Um Hotel de Encher os Olhos,8.º Distrito Congressional da Califórnia,2
Bariloche - Post Índice,8.º Distrito Congressional da Califórnia,1
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",8.º Distrito Congressional da Califórnia,1
Revelando a Foto - Amanhecer no John Moulton Barn,8.º Distrito Congressional da Califórnia,1
Revelando a Foto - Igreja Nossa Senhora do Carmo,8.º Distrito Congressional da Califórnia,1
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",8.º Distrito Congressional do Alabama,1
,9 de Julio (San Juan),1
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",9.º Distrito Congressional do Alabama,2
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",9.º Distrito Congressional do Alabama,2
Bariloche - Restaurante La Lola,9.º Distrito Congressional do Alabama,1
São Luís - Centro de Cultura Popular Domingos Vieira Filho,9.º Distrito Congressional do Alabama,1
Vídeo - Episódio Cachoeira da Farofa na Serra do Cipó,9.º Distrito Congressional do Alabama,1
Guarulhos - Hotel Slaviero Executive Guarulhos,9.º Distrito Congressional do Arizona,1
Patagônia - Roteiro,9.º Distrito Congressional do Arizona,1
Revelando a Foto - Brasil x Chile na Copa,9.º Distrito Congressional do Arizona,1
Revelando a Foto - Passeio no deserto de Dubai,9.º Distrito Congressional do Arizona,1
Revelando a Foto - Jokhang Temple em Lhasa,9/11 Truth Movement,4
Islândia - Como Organizar uma Viagem de Campervan,9/11 Truth Movement,2
Revelando a Foto - Moldura de Paisagem,9/11 Truth Movement,2
Revelando a Foto - Yellowstone National Park,9/11 Truth Movement,2
Washington DC - Cemitério de Arlington,9/11 Truth Movement,2
Revelando a Foto - Amanhecer no John Moulton Barn,A Heavenly Vintage,10
Revelando a Foto - Paisagem da Alaska Railroad,A Heavenly Vintage,6
Fernando de Noronha - Mergulho,A Heavenly Vintage,6
Aplicativo - The Weather Channel - Previsão Meteorológica ,A Heavenly Vintage,5
Barcelona - Bicing,A Heavenly Vintage,5
Revelando a Foto - Inspiration Point no Bryce Canyon,A Mesilla,3
Santiago - Museu de Arte Pré-Colombiana Fechado para Reforma,A Mesilla,3
Santiago - Tirando suas dúvidas - Ask me,A Mesilla,3
,A Mesilla,2
Curitiba - Hotel CWB Express,A Mesilla,2
Cinema no Rio - Levando a Sétima Arte às Comunidades Ribeirinhas do Rio São Francisco,A Sand County Almanac,10
Revelando a Foto - Snake River Overlook,A Sand County Almanac,10
Campinas - Passeio de Maria Fumaça,A Sand County Almanac,8
Santiago - City Tour em Ônibus Hop-On Hop-Off,A Sand County Almanac,6
Puerto Octay - Restaurante Rancho Espantapájaros,A Sand County Almanac,4
Revelando a Foto - Jardim Botânico de Belo Horizonte,AVN Award,4
Revelando a Foto - Ninho do Pássaro,AVN Award,4
Livro - Papo de Viagem & Outras Histórias de Bar,AVN Award,3
Mandacaru - A Melhor Caipirinha de Caju,AVN Award,3
Revelando a Foto - Mesa Arch,AVN Award,2
Belo Horizonte - Caminhada da Lua Cheia,Aarón Castellanos,2
Bariloche - Isla Victoria y Bosque de Arrayanes,Aarón Castellanos,1
Bariloche - Restaurante La Lola,Aarón Castellanos,1
Mandacaru - A Melhor Caipirinha de Caju,Aarón Castellanos,1
Santiago - Bairro Paris-Londres,Abasto,7
Blogs de Viagens,Abasto,3
Revelando a Foto - Matriz de Santo Antônio,Abasto,3
#TchÊncontro - Encontro de Blogueiros em Porto Alegre,Abasto,2
Santiago - Post índice,Abasto,2
Puerto Octay - Arquitetura Alemã e Vulcões,Abbeville (Luisiana),15
Chapada dos Guimarães - Mirante Morro dos Ventos,Abbeville (Luisiana),7
Chapada dos Guimarães - Pousada Casa da Quineira,Abbeville (Luisiana),7
Islândia - Como se Manter Conectado,Abbeville (Luisiana),7
Santiago - Catedral Metropolitana de Santiago,Abbeville (Luisiana),7
Barcelona - Curso de Fotografia ,Abdón Castro Tolay,1
São Luís - Igreja da Sé,Abdón Castro Tolay,1
São Luís - Teatro Arthur Azevedo,Abdón Castro Tolay,1
Mandacaru - A Melhor Caipirinha de Caju,Abel (Alabama),2
Revelando a Foto - Monument Valley,Abel (Alabama),2
Revelando a Foto - Outubro Rosa,Abel (Alabama),2
Puerto Natales - Pizzaria Mesita Grande,Abel (Alabama),2
Revelando a Foto - Moldura no Central Park,Abel (Alabama),1
Revelando a Foto - Outubro Rosa,Abel Tasman,15
Nova Zelândia - Roteiro,Abel Tasman,7
Revelando a Foto - Galeria Adriana Varejão,Abel Tasman,4
Belo Horizonte - Mirante do Mangabeiras,Abel Tasman,3
"Puerto Varas - Restaurante, Cafeteria e Chocolateria Cassis",Abel Tasman,3
,Aberdeen (Dacota do Sul),2
Belo Horizonte - Mirante do Mangabeiras,Aberdeen (Dacota do Sul),1
Parque Estadual do Rio Preto - O Que Fazer?,Abernant,1
Região dos Lagos Chilenos - Lago Todos Los Santos e Isla Margarita,Abernant,1
Circuito W - Las Torres del Paine,Abilene (Texas),4
Revelando a Foto - Moldura de Paisagem,Abilene (Texas),2
Circuito W - Lago e Glaciar Grey,Abilene (Texas),1
Circuito W - Vale Francês,Abilene (Texas),1
Revelando a Foto - Arches National Park,Abilene (Texas),1
,Ables Springs,1
Belo Horizonte - Decoração de Natal da Praça da Liberdade,Ables Springs,1
Belo Horizonte - Degustação de Sorvetes na Alessa,Ables Springs,1
Cardosa - Flutuação no Rio Formiga,Ables Springs,1
Revelando a Foto - Opal Pool no Yellowstone,Ables Springs,1
,Abner (Texas),1
Patagônia - Roteiro,Abner (Texas),1
Campinas - Passeio de Maria Fumaça,Aborto na Argentina,2
El Calafate - Estancia Cristina,Aborto na Argentina,2
Revelando a Foto - Antelope Canyon,Aborto na Argentina,2
Revelando a Foto - Estrada em Morada Nova de Minas,Aborto na Argentina,2
Revelando a Foto - Estrada em Paineiras,Aborto na Argentina,2
Porque Gostamos de Voar pela LAN,Above Diamond,4
Revelando a Foto - Capitólio,Above Diamond,4
Região dos Lagos Chilenos - Lago Todos Los Santos e Isla Margarita,Above Diamond,2
Revelando a Foto - Basílica de Nossa Senhora Aparecida,Above Diamond,2
Revelando a Foto - Frutillar,Above Diamond,2
,Abra Pampa,4
Região dos Lagos Chilenos - Lago Todos Los Santos e Isla Margarita,Abra Pampa,1
Revelando a Foto - Escadas da Sagrada Família,Abra Pampa,1
Revelando a Foto - Visão de Formiga em Tiradentes,Abra Pampa,1
,Abramo,1
Belo Horizonte - Memorial Minas Gerais - Vale,Abramo,1
Blogs de Viagens,Abramo,1
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",Abramo,1
"Cachoeira do Intancado, uma das Belezas da Cabeça de Boi",Abramo,1
Guarulhos - Hotel Slaviero Executive Guarulhos,Academia Chilena de Ciências,10
Santiago - Restaurante Fukai Sushi Lounge and Asian Bistro,Academia Chilena de Ciências,9
São João del Rei - Garden Hill Small Resort,Academia Chilena de Ciências,9
Vídeo - Episódio Music Lab no Hard Rock Hotel & Casino Punta Cana,Academia Chilena de Ciências,9
Santiago - Restaurante Backstage Experience,Academia Chilena de Ciências,9
Hard Rock Hotel & Casino Punta Cana - Suíte Caribe,Academia Nacional de Artes e Ciências Televisivas,10
Revelando a Foto - Galeria Adriana Varejão,Academia Nacional de Artes e Ciências Televisivas,10
Revelando a Foto - Lake Powell,Academia Nacional de Artes e Ciências Televisivas,6
Barcelona - Curso de Fotografia ,Academia Nacional de Artes e Ciências Televisivas,5
Revelando a Foto - Government Gardens em Rotorua,Academia Nacional de Artes e Ciências Televisivas,5
I Encontro de Inverno de Blogueiros de Viagem,Academia Naval dos Estados Unidos,3
Vídeo - Episódio Maria Fumaça,Academia Naval dos Estados Unidos,3
Barreirinhas - Restaurante Barlavento,Academia Naval dos Estados Unidos,2
Punta Cana - Hard Rock Hotel & Casino Punta Cana,Academia Naval dos Estados Unidos,2
Revelando a Foto - Maria Fumaça,Academia Naval dos Estados Unidos,2
Tauá Grande Hotel e Termas de Araxá - Lazer,Academia de Artes e Ciências dos Estados Unidos,2
Blogagem Coletiva - Cores de Viagem,Academia de Artes e Ciências dos Estados Unidos,1
Hard Rock Hotel & Casino Punta Cana - Suíte Caribe,Academia de Artes e Ciências dos Estados Unidos,1
Puerto Varas - Iglesia del Sagrado Corazón de Jesus,Academia de Artes e Ciências dos Estados Unidos,1
Revelando a Foto - Basílica de Nossa Senhora Aparecida,Academia de Artes e Ciências dos Estados Unidos,1
Santiago - Restaurante Fukai Sushi Lounge and Asian Bistro,Acadiana,6
Belo Horizonte - Restaurante Maria das Tranças,Acadiana,4
Santiago - Tirando suas dúvidas - Ask me,Acadiana,4
Fernando de Noronha - Pousada del Mares,Acadiana,3
Vídeo - Episódio Mirante do Centro Geodésico,Acadiana,3
Bariloche - Centro Cívico,Acassuso,6
Belo Horizonte - Espaço TIM UFMG do Conhecimento,Acassuso,3
I Encontro de Inverno de Blogueiros de Viagem,Acassuso,2
Revelando a Foto - Maria Fumaça,Acassuso,2
Revelando a Foto - Maria Fumaça em Tiradentes,Acassuso,2
Revelando a Foto - Metropolitan,Accord (Nova Iorque),2
Revelando a Foto - Ninho do Pássaro,Accord (Nova Iorque),2
Bariloche - Centro Cívico,Accord (Nova Iorque),1
Revelando a Foto - Estrada em Morada Nova de Minas,Accord (Nova Iorque),1
Revelando a Foto - Estrada em Paineiras,Accord (Nova Iorque),1
,Ace (Texas),1
29 de Fevereiro - Leap Day,Ace (Texas),1
Belo Horizonte - Caminhada da Lua Cheia,Ace (Texas),1
Belo Horizonte - Lua Cheia no Museu 2013,Ace (Texas),1
Caburé - Almoço na Pousada do Paulo,Ace (Texas),1
El Chaltén - Lago del Desierto e Glaciar Huemul,Acebal (Santa Fé),4
Serra do Cipó - Trilha para Cachoeira da Farofa,Acebal (Santa Fé),2
#EncontroBSB - I Encontro de Blogueiros de Viagens em Brasília,Acebal (Santa Fé),1
Blogueiros Por Minas - Parque Estadual do Rio Doce,Acebal (Santa Fé),1
"Cachoeira da Maçã, Bela Surpresa da Cabeça de Boi",Acebal (Santa Fé),1
Paso Córdoba - De San Martín de los Andes a Bariloche,Achiras,1
Revelando a Foto - Arches National Park,Acidente na mina de Pike River em 2010,11
Revelando a Foto - Schwabacher Landing,Acidente na mina de Pike River em 2010,11
Revelando a Foto - Moldura no Central Park,Acidente na mina de Pike River em 2010,9
Revelando a Foto - Mount Moran,Acidente na mina de Pike River em 2010,9
Parque Nacional Lanín - Navegando pelos Lagos Huechulafquen e Epulafquen,Acidente na mina de Pike River em 2010,6
Circuito W - Las Torres del Paine,Aconcágua,10
Circuito W - Pelo Lago Nordenskjold até Los Cuernos,Aconcágua,6
El Calafate - Estancia Cristina,Aconcágua,6
El Calafate - Tour ao Glaciar Perito Moreno,Aconcágua,6
Amanhecer em El Chaltén - Mirador de Los Condores,Aconcágua,4
Revelando a Foto - Frutillar,Aconquija,4
Parque Nacional Lanín - Passeando entre Lagos e o Vulcão Lanín,Aconquija,3
Puerto Octay - Restaurante Rancho Espantapájaros,Aconquija,3
Revelando a Foto - Paisagem da Alaska Railroad,Aconquija,3
Bariloche - Cerro Tronador e Cascada los Alerces,Aconquija,2
Curitiba - Hotel CWB Express,Acordo de San Nicolás,1
Puerto Varas - Iglesia del Sagrado Corazón de Jesus,Acordo de San Nicolás,1
Revelando a Foto - Central Park em NY,Acordo de San Nicolás,1
Revelando a Foto - Zabriskie Point,Acordo de San Nicolás,1
Santiago - Post índice,Acordo de San Nicolás,1
Jalapão - Prainha,Acton (Massachusetts),1
Revelando a Foto - Bridalveil Falls,Acton (Massachusetts),1
Revelando a Foto - Cascada los Alerces,Acton (Massachusetts),1
Revelando a Foto - Drepung Monastery,Acton (Massachusetts),1
Revelando a Foto - Horseshoe Bend,Acton (Massachusetts),1
Revelando a Foto - Futebol Americano em BH,Acton (Texas),4
Revelando a Foto - Namoradeira em Tiradentes,Acton (Texas),4
Revelando a Foto - Pôr do Sol no Porto em Fernando de Noronha,Acton (Texas),4
Belo Horizonte - Lua Cheia no Museu 2013,Acton (Texas),3
Revelando a Foto - Praia da Cacimba do Padre,Acton (Texas),3
Puerto Montt - Diversão para as Crianças,Acuff,1
Revelando a Foto - Bear Lake State Tabernacle,Acushnet (Massachusetts),6
Revelando a Foto - Maria Fumaça em Tiradentes,Acushnet (Massachusetts),3
Revelando a Foto - Pôr do Sol no Porto em Fernando de Noronha,Acushnet (Massachusetts),3
Revelando a Foto - Cemitério da Igreja de São Francisco de Assis,Acushnet (Massachusetts),2
Caeté - Serra da Piedade,Acushnet (Massachusetts),1
Guarulhos - Hotel Slaviero Executive Guarulhos,Ada (Alabama),1
Islândia - Como Dirigir,Ada (Alabama),1
Puerto Montt - Palafitos de Angelmó - Restaurante 9,Ada (Alabama),1
Revelando a Foto - Frutillar,Ada (Alabama),1
Revelando a Foto - Grand Prismatic Spring,Ada (Alabama),1
Revelando a Foto - Bear Lake State Tabernacle,Adams (Massachusetts),1
Revelando a Foto - Mount Moran,Adams (Massachusetts),1
Revelando a Foto - Praça Minas Gerais em Mariana,Adams (Massachusetts),1
Revelando a Foto - Roda Gigante em BH,Adams (Nova Iorque),5
